u_BT,PosXRight,PosYRight,u_VSP1,Absolute Time
0.020221,0.020600,1.000000,0.858369,3568296684.460455
0.020221,0.020600,1.000000,0.858369,3568296684.470456
0.020221,0.020600,1.000000,0.858369,3568296684.480456
0.020221,0.020600,1.000000,0.858369,3568296684.490457
0.020221,0.020600,1.000000,0.858369,3568296684.500458
0.020221,0.020600,1.000000,0.858369,3568296684.510456
0.020221,0.020600,1.000000,0.858369,3568296684.520457
0.020221,0.020600,1.000000,0.858369,3568296684.530457
0.020221,0.020600,1.000000,0.858369,3568296684.540458
0.020221,0.020600,1.000000,0.858369,3568296684.550458
0.020221,0.020600,1.000000,0.858369,3568296684.560458
0.020221,0.020600,1.000000,0.858369,3568296684.570457
0.020221,0.020600,1.000000,0.858369,3568296684.580459
0.020221,0.020600,1.000000,0.858369,3568296684.590459
0.020221,0.020600,1.000000,0.858369,3568296684.600460
0.020221,0.020600,1.000000,0.858369,3568296684.610460
0.020221,0.020600,1.000000,0.858369,3568296684.620461
0.020221,0.020600,1.000000,0.858369,3568296684.630460
0.020221,0.020600,1.000000,0.858369,3568296684.640460
0.020221,0.020600,1.000000,0.858369,3568296684.650461
0.020221,0.020600,1.000000,0.858369,3568296684.660461
0.020221,0.020600,1.000000,0.858369,3568296684.670461
0.020221,0.020600,1.000000,0.858369,3568296684.680461
0.020221,0.020600,1.000000,0.858369,3568296684.690462
0.020221,0.020600,1.000000,0.858369,3568296684.700462
0.020221,0.020600,1.000000,0.858369,3568296684.710463
0.020221,0.020600,1.000000,0.858369,3568296684.720464
0.020221,0.020600,1.000000,0.858369,3568296684.730463
0.020221,0.020600,1.000000,0.858369,3568296684.740461
0.020221,0.020600,1.000000,0.858369,3568296684.750463
0.020221,0.020600,1.000000,0.858369,3568296684.760464
0.020221,0.020600,1.000000,0.858369,3568296684.770465
0.020221,0.020600,1.000000,0.858369,3568296684.780464
0.020221,0.020600,1.000000,0.858369,3568296684.790465
0.020221,0.020600,1.000000,0.858369,3568296684.800465
0.020221,0.020600,1.000000,0.858369,3568296684.810465
0.020221,0.020600,1.000000,0.858369,3568296684.820466
0.020221,0.020600,1.000000,0.858369,3568296684.830465
0.020221,0.020600,1.000000,0.858369,3568296684.840466
0.020221,0.020600,1.000000,0.858369,3568296684.850466
0.020221,0.020600,1.000000,0.858369,3568296684.860467
0.020221,0.020600,1.000000,0.858369,3568296684.870467
0.020221,0.020600,1.000000,0.858369,3568296684.880467
0.020221,0.020600,1.000000,0.858369,3568296684.890468
0.020221,0.020600,1.000000,0.858369,3568296684.900468
0.020221,0.020600,1.000000,0.858369,3568296684.910468
0.020221,0.020600,1.000000,0.858369,3568296684.920469
0.020221,0.020600,1.000000,0.858369,3568296684.930468
0.020221,0.020600,1.000000,0.858369,3568296684.940470
0.020221,0.020600,1.000000,0.858369,3568296684.950469
0.020221,0.020600,1.000000,0.858369,3568296684.960470
0.020221,0.020600,1.000000,0.858369,3568296684.970469
